////////////////////////////////////////////////////////////////////////////////
//	[ Text  Version ]	0.0.7.8	
//	[ 최종 작업자 ]	사재일
//	[ 최종 작업일 ]	2015-08-11-04:53 PM
//	[ 작 업 내 용 ]	대천사의무기 버프 스킬 추가
////////////////////////////////////////////////////////////////////////////////
//버프. 디버프에 상관없이 추가시 제일 뒤에 순차적으로 추가
// 인벤 장착 아이템 관련 부분은 서버와 클라이언트가 다르게 적용되고 있으며
// 클라이언트 용은 인벤장착 아이템부분 주석 처리, 서버용은 인벤장착 아이템 주석 해재 할것
					
								
//Index	Viewport index	Item type	Item Index	Name	Type	알림	Clear type	설명	버프값 출력
0	//버프 효과
1	1	255	255	"Increase Attack Power"	0	1	1	"Attack power increases."	0
2	2	255	255	"Increase Defense"	0	1	1	"Defensibility increases."	0
3	3	255	255	"Shadow Phantom effect"	0	1	1	"Attack power and Defensibility increases"	0
4	4	255	255	"Soul Barrier"	0	1	1	"Manna absorbs the damage."	0
5	5	255	255	"Critical Damage increase"	0	1	1	"Critical damage increases."	0
6	6	255	255	"Infinity Arrow"	0	0	1	"Arrows do not become consumed."	0
7	7	255	255	"AG recovery speed increase"	0	0	1	""	0
8	8	255	255	"Swell Life"	0	1	1	"Health stat increases to maximum."	0
9	9	255	255	"Swell Mana"	0	0	1	"Mana stat increases to maximum."	0
10	10	255	255	"Potion of Blessing"	0	0	1	"Attack power +20% increase"	0
11	11	255	255	"Potion of Soul"	0	0	1	"AG recovery speed increase +8/Lightning and Ice resistance increase/attack speed increase +20"	0
12	12	255	255	"Abolish Magic"	0	0	1	""	0
13	13	255	255	"Gate Open/Close Status"	0	1	1	""	0
14	14	255	255	"Watchtower"	0	1	1	"Watching over the castle."	0
15	14	255	255	"Besiegement Guild1"	0	1	1	"In the process of attacking the castle"	0
16	14	255	255	"Besiegement Guild2"	0	1	1	"In the process of attacking the castle"	0
17	14	255	255	"Besiegement Guild3"	0	1	1	"In the process of attacking the castle"	0
18	15	255	255	"Invisibility"	0	1	1	"Transparency Status"	0
19	16	255	255	"Dark Rod Battle Skill"	0	0	1	""	0
20	17	255	255	"Crown Registration Status"	0	1	1	""	0
21	18	255	255	"Altar of Wolf contract enabled"	0	1	1	""	0
22	18	255	255	"Altar of Wolf contract disabled"	0	1	1	""	0
23	18	255	255	"Altar of Wolf contract Status"	0	1	1	""	0
24	18	255	255	"Altar of Wolf contract attempt"	0	1	1	""	0
25	18	255	255	"Altar of Wolf besiegement Status"	0	1	1	""	0
26	18	255	255	"Altar of Wolf hero contract Status"	0	1	1	""	0
27	19	255	255	"Cry Wolf NPC transparency"	0	1	1	""	0
28	20	255	255	"GM"	0	1	1	""	0
29	60	13	43	"Seal of Ascension"	0	0	1	"EXP gain increase 50%"	0
30	61	13	44	"Seal of Wealth"	0	0	1	"EXP gain increase 100%/item gain increase 150%"	0
31	62	13	45	"Seal of Sustenance"	0	0	1	"EXP gain disabled"	0
32	22	255	255	"Temple - Spell of Quickness"	0	0	1	""	0
33	22	255	255	"Temple - Spell of Sublimation"	0	0	1	""	0
34	22	255	255	"Spell of Protection"	0	1	1	"Damage absorbed at 100%."	0
35	246	14	46	"[Boost] Jack O'Lantern Blessings"	0	0	1	"Attack Speed +10"	0
36	247	14	47	"[Reinforce] Jack O'Lantern Wrath"	0	0	1	"Attack, Wizardry +40"	0
37	247	14	48	"[Reinforce] Jack O'Lantern Cry"	0	0	1	"Defense +100"	0
38	246	14	49	"[Boost] Jack O'Lantern Food"	0	0	1	"Max HP +700"	0
39	246	14	50	"[Boost] Jack O'Lantern Drink"	0	0	1	"Max MP +700"	0
40	60	13	43	"Seal of Ascension"	0	1	1	"EXP gain increase 50%"	0
41	61	13	44	"Seal of Wealth"	0	1	1	"EXP gain increase 100%/Item gain increase 150%"	0
42	65	13	45	"Seal of Sustenance"	0	1	1	"EXP gain disabled"	0
43	57	13	59	"Seal of Mobility"	0	1	1	"Mobility enabled"	0
44	67	14	72	"Scroll of Quickness"	0	1	1	"Attack speed increase +15"	0
45	68	14	73	"Scroll of Defense"	0	1	1	"Defensibility increase +60"	0
46	69	14	74	"Scroll of Wrath"	0	1	1	"Attack power increase +30"	0
47	70	14	75	"Scroll of Wizardry"	0	1	1	"Wizardry, Curse increase +30"	0
48	71	14	76	"Scroll of Health"	0	1	1	"HP increase +200"	0
49	72	14	77	"Scroll of Mana"	0	1	1	"Mana increase +300"	0
