////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////	
//	CharacterInfoSetup
//	[ 파일 생성 ]	2015-08-24
//	[ 수정 일자 ]	2015-11-05 2:03 PM
//	[ 수  정  자 ]	김승태
//	[ 버       전 ]	0.0.0.6
//	[ 수정 내용 ]	출혈/마비/속박 효과 Value1 post % 삭제 및 광휘3랭옵션설명수정
//	[ 참       조 ]	클라이언트 스크립트
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////	
//	index	캐릭터 정보 인덱스 (인덱스 추가 시 클라이언트 담당자가 코드 상에서 추가해야 함)
//	Info Name Color	캐릭터 정보 이름 색상 설정
//	Info Name	캐릭터 정보창에 표시되는 정보의 이름
//	Type	정보내용의 타입 지정 (타입 추가 시 담당자와 상의 필요)
//	Class	해당 정보의 클래스 지정 (0:사용안함 / 1:1차전직 / 2:2차전직 / 3:3차전직)
//	위치	캐릭터 정보창에서 표시되는 위치 지정 (1. 캐릭터 정보(클래스, 레벨, 경험치,서버, 여유 포인트, 열매생성, 열매 감소) / 2. 캐릭터 스탯 / 3. 캐릭터 상세 옵션/ 4. 속성 스탯 / 5. 속성 옵션 / 6. 공격 상성률 / 7. 방어 성성률)		
//	Sort	정보 표시 시 보여지는 우선 순위 (낮은 숫자 일 수록 더 위에 보여줌 0부터 시작 / 위치 값에 종속)
//	Value # Color	정보 값에 대한 텍스트 컬러 지정
//	Value # Pre	정보 값 출력 시 텍스트 앞에 표시되는 문자
//	Value # Post	정보 값 출력 시 텍스트 뒤에 표시되는 문자
//	Button type	해당 정보에 표시되는 버튼 지정 (ex. 여유 스탯이 있을 경우 스탯 추가 버튼 출력 / 새로운 버튼 추가 시 담당자와 상의 필요)
// Index	Info Name Color	Info Name	Type	흑마법사	흑기사	요정	마검사	다크로드	소환술사	레이지파이터	그로우랜서	룬마법사	슬레이어	건크래셔	위치	Sort	Value 1 Color	Value 1 Pre	Value 1 Post	Value 2 Color	Value 2 Pre	Value 2 Post	Button type	
// 일반 능력치 (클래스 스탯 및 관련 능력치)
//
1	20	"Class"	1	1	1	1	1	1	1	1	1	1	1	1	1	0	3	""	""	0	""	""	0
2	20	"Level"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	""	""	0	""	""	0
3	20	"Guild"	2	1	1	1	1	1	1	1	1	1	1	1	1	2	3	""	""	0	""	""	0
4	20	"Server"	3	1	1	1	1	1	1	1	1	1	1	1	1	3	3	""	""	0	""	""	0
5	20	"Pts Remaining"	4	1	1	1	1	1	1	1	1	1	1	1	1	4	3	""	""	0	""	""	0
6	20	"Fruit Create"	5	1	1	1	1	1	1	1	1	1	1	1	1	5	3	""	""	1	"("	"%)"	0
7	20	"Fruit Decrease"	5	1	1	1	1	1	1	1	1	1	1	1	1	6	3	""	""	1	"("	"%)"	0
8	20	"Strength"	6	1	1	1	1	1	1	1	1	1	1	1	2	0	3	""	""	1	"(+"	")"	1
9	12	"* (S) ATK Power"	7	0	1	0	1	1	0	1	1	0	0	0	2	1	12	""	""	12	""	""	0
10	20	"* ATK Power"	10	1	1	1	1	1	1	1	1	1	1	1	2	2	3	""	""	3	""	""	0
118	1	"   Malee ATK Power"	15	1	1	1	1	1	1	1	1	1	1	1	2	3	1	""	""	1	""	""	0
119	1	"   Ranged ATK Power"	15	1	1	1	1	1	1	1	1	1	1	1	2	3	1	""	""	1	""	""	0
11	20	"* ATK Rate"	10	1	1	1	1	1	1	1	1	1	1	1	2	4	3	""	""	3	"(+"	")"	0
12	20	"* PvP ATK Rate"	10	1	1	1	1	1	1	1	1	1	1	1	2	5	3	""	""	3	"(+"	")"	0
13	20	"Agility"	6	1	1	1	1	1	1	1	1	1	1	1	2	6	3	""	""	1	"(+"	")"	1
14	12	"* (S) ATK Power"	7	0	0	1	0	0	0	0	0	0	1	0	2	7	12	""	""	12	""	""	0
15	12	"* (S) DEF"	7	0	1	0	0	1	0	0	1	0	0	0	2	8	12	""	""	0	""	""	0
16	12	"* (S) DEF Rate"	7	0	0	1	0	0	0	0	0	0	1	0	2	9	12	""	""	0	""	""	0
17	12	"* (S) PvP DEF Rate"	7	0	0	1	0	0	0	0	0	0	0	0	2	10	12	""	""	0	""	""	0
18	12	"* (S) ATK Rate"	7	1	0	0	0	0	0	0	0	1	0	1	2	11	12	""	""	0	""	""	0
19	12	"* (S) PvP ATK Rate"	7	1	0	0	0	0	0	0	0	1	0	1	2	12	12	""	""	0	""	""	0
20	20	"* DEF"	10	1	1	1	1	1	1	1	1	1	1	1	2	13	3	""	""	0	""	""	0
121	1	"   Malee DEF"	15	1	1	1	1	1	1	1	1	1	1	1	2	14	1	""	""	1	""	""	0
