//Index	File	PosX	PosY	PosZ	RotX	RotY	RotZ	Scale	Node	ParentRotation
160	Data\Effect\fire01-red03.ein	0	0	0	0	0	0	50	0	1	
160	Data\Effect\Sparkle21-red01.ein	0	0	0	0	0	0	60	0	1	
160	Data\Effect\smoke17-red01.ein	0	0	0	0	0	0	70	0	1	
160	Data\Effect\twinkle10-red02.ein	0	0	80	0	0	0	300	0	1	
161	Data\Effect\twister10-cyan01.ein	0	0	0	0	0	0	200	0	1	
161	Data\Effect\twister11-cyan01.ein	0	0	0	0	0	0	80	0	1	
163	Data\Effect\smoke16-white01.ein	0	0	0	0	0	0	1500	0	1	
164	Data\Effect\twinkle14-red01.ein	0	0	0	0	0	0	50	0	1	
132	Data\Effect\twinkle05-blue01.ein	0	0	0	0	0	0	17	16	1	
132	Data\Effect\twinkle05-blue01.ein	0	0	0	0	0	0	17	17	1	
132	Data\Effect\twinkle05-blue01.ein	0	0	0	0	0	0	17	18	1	
132	Data\Effect\twinkle05-blue01.ein	0	0	0	0	0	0	17	19	1	
134	Data\Effect\twinkle05-blue01.ein	0	0	0	0	0	0	15	11	1	
134	Data\Effect\twinkle05-blue01.ein	0	0	0	0	0	0	15	14	1	
134	Data\Effect\twinkle05-blue01.ein	0	0	0	0	0	0	15	17	1	
134	Data\Effect\twinkle05-blue01.ein	0	0	0	0	0	0	15	18	1	
152	Data\Effect\twinkle05-red01.ein	4	0	0	0	0	0	20	11	1	
152	Data\Effect\twinkle05-red01.ein	4	0	0	0	0	0	20	15	1	
152	Data\Effect\twinkle05-red01.ein	4	0	0	0	0	0	20	19	1	
152	Data\Effect\twinkle05-red01.ein	4	0	0	0	0	0	20	23	1	
152	Data\Effect\twinkle05-red01.ein	4	0	0	0	0	0	20	27	1	
162	Data\Effect\Spark01_particle.ein	0	0	0	0	0	0	200	0	1	
128	Data\Effect\sparkle22-blue01.ein	0	0	0	0	90	0	60	11	1	
165	Data\Effect\smoke17-red01.ein	0	0	0	0	0	0	70	0	1	
166	Data\Effect\fire09-red01.ein	0	0	0	0	0	0	50	0	1	
166	Data\Effect\twinkle12-red02.ein	0	0	50	0	0	0	300	0	1	
166	Data\Effect\smoke11-red01.ein	0	0	0	0	0	0	50	0	1	
167	Data\Effect\smoke12-red01.ein	0	0	0	0	0	0	50	0	1	
12	Data\Effect\twinkle05-blue01.ein	0	0	0	0	0	0	40	10	1
12	Data\Effect\twinkle05-blue01.ein	0	0	0	0	0	0	40	11	1
12	Data\Effect\twinkle05-blue01.ein	0	0	0	0	0	0	40	12	1
12	Data\Effect\twinkle05-blue01.ein	0	0	0	0	0	0	40	13	1
