//가이드와 스페셜 퀘스트의 챕터, 제목, 받을때, 진행중, 완료 대사를 입력하며 공통으로 받을 때 에러용 대사가 준비되어야 한다.			
//QuestStringIndex	eng	StringType	Quest Index
1	For system maintenance (disabled)	1	1
2	Welcome to the world of Mu.	1	2
3	Oh, I haven't introduced myself yet. My name is Olga. My fellow comrades from the Shadow Phantom Guardians and I serve Erin Gustiv, the queen of Noria.	2	2
4	We have been waiting for a hero like you to arrive and put a stop to the chaos brought on to the Mu realm by Kundun.	2	2
5	If you wish, we can provide you with a simple tutorial. It won't take up too much of your time. I'll simply explain basic controls and hunting techniques.	2	2
6	We aren't difficult to find. Simply look for and talk to the Shadow Phantom Soldier in any of the towns.	2	2
7	Well done. Here's your reward.	4	2
8	Listen to the Shadow Phantom Soldier's guide for MU game play.	5	2
9	Tutorial - Press C	1	3
10	Let's start with something simple.;Close your quest window and either press C or click on the Character (C) button located on the bottom right of your screen to launch the Character Stats window.	2	3
11	Did you launch the Character Stats window?;That window contains the character's name and level, the name of the current server, and character statuses.	2	3
12	Gain EXP points to level up.You can find out how many more points you need to reach the next level by checking your Character Stats window or the EXP bar located at the bottom of your screen.The bar is divided into ten segments, and filling them up will elevate you to the next level.	2	3
13	The Character Stats window will tell you the name of your character, the name of the current server, and your character's class. It's possible to connect to different channels within a single server using the same character.	2	3
14	There is six basic character classes: the Elf, the Dark Knight, the Dark Wizard, Summoner, Rune Wizard and Slayer. Reach level 220 with any of these basic characters to unlock the Magic Gladiator, and level 250 to unlock the Dark Lord.	2	3
15	Here's your reward.	4	3
16	Listen to the Shadow Phantom Soldier's guide for MU game play.	5	3
17	Tutorial - Press I	1	4
18	Leveling up will earn you points. These points can be used to enhance your strength, agility, stamina, and energy and thereby affect your damage, defense, HP, and MP levels, respectively.Carefully use these points, for how you develop your character will determine its combat characteristics and the types of weapons and skills it can use.	2	4
19	Press the I or V button to open your Inventory window.	2	4
