////////////////////////////////////////////////////////////////////////////////	
//[ Script ]	MonsterSoulConversionDropInfo
//[ Version ]	0.0.0.1
//[ 최종 작업자 ]	박혜진
//[ 최종 작업일 ]	2019-02-20 2:56 PM
//[ 작 업 내 용 ]	Season14 Part2 몬스터 영혼 변환 컨텐츠 신규 추가
//[ 사 용 부 서 ]	클라이언트
////////////////////////////////////////////////////////////////////////////////	
//고유번호
1	
// 루드	
//보상 종류 번호	
1	
//보상 구분	정보
0	"Guaranteed - 400 Ruud"
1	"Random - 200 ~ 4000 Ruud, [Bound] Bless of Light (Lesser)"
end	
// 보석 아이템류	
//보상 종류 번호	
2	
//보상 구분	정보
0	"Guaranteed - Jewel of Bless"
1	"Random - Jewel of Bless, Jewel of Soul, Jewel of Life, Jewel of Harmony, Jewel of Creation, Jewel of Chaos, [Bound] Bless of Light (Lesser)"
end	
// 속성 아이템류	
//보상 종류 번호	
3	
//보상 구분	정보
0	"Guaranteed - Elemental Rune"
1	"Random - Common Pentagram, Rare Pentagram, Unique Pentagram, 1 Rank 1 Enhanced Erthel, 1 Rank 7 Enhanced Erthel, Elemental Rune, [Bound] Bless of Light (Lesser)"
end	
end	
//고유번호	
2	
// 루드	
//보상 종류 번호	
1	
//보상 구분	정보
0	"Guaranteed - 400 Ruud"
1	"Random - 200 ~ 4000 Ruud, [Bound] Bless of Light (Lesser)"
end	
// 보석 아이템류	
//보상 종류 번호	
2	
//보상 구분	정보
0	"Guaranteed - Jewel of Bless"
1	"Random - Jewel of Bless, Jewel of Soul, Jewel of Life, Jewel of Harmony, Jewel of Creation, Jewel of Chaos, [Bound] Bless of Light (Lesser)"
end	
// 속성 아이템류	
//보상 종류 번호	
3	
//보상 구분	정보
0	"Guaranteed - Elemental Rune"
1	"Random - Common Pentagram, Rare Pentagram, Unique Pentagram, 1 Rank 1 Enhanced Erthel, 1 Rank 7 Enhanced Erthel, Elemental Rune, [Bound] Bless of Light (Lesser)"
end
end	
//고유번호	
3	
// 루드	
//보상 종류 번호	
1	
//보상 구분	정보
0	"Guaranteed - 400 Ruud"
1	"Random - 200 ~ 4000 Ruud, [Bound] Bless of Light (Intermediate)"
end	
// 보석 아이템류	
//보상 종류 번호	
2	
//보상 구분	정보
0	"Guaranteed - Jewel of Bless"
1	"Random - Jewel of Bless, Jewel of Soul, Life Gem, Harmony Gem, Jewel of Creation, Jewel of Chaos, [Bound] Bless of Light (Intermediate)"
end	
// 속성 아이템류	
//보상 종류 번호	
3	
//보상 구분	정보
0	"Guaranteed - Elemental Rune"
1	"Random - Normal Pentagram, Rare Pentagram, Unique Pentagram, 1 Rank 1 Enhanced Erthel, 1 Rank 7 Enhanced Erthel, Elemental Rune, [Bound] Bless of Light (Intermediate)"
end
end	
//고유번호	
4	
// 루드	
//보상 종류 번호	
1	
//보상 구분	정보
0	"Guaranteed - 400 Ruud"
1	"Random - 200 ~ 4000 Ruud, [Bound] Bless of Light (Intermediate)"
end	
// 보석 아이템류	
//보상 종류 번호	
2	
//보상 구분	정보
0	"Guaranteed - Jewel of Bless"
1	"Random - Jewel of Bless, Jewel of Soul, , Life Gem, Harmony Gem, Jewel of Creation, Jewel of Chaos, [Bound] Bless of Light (Intermediate)"
end	
// 속성 아이템류	
//보상 종류 번호	
3	
//보상 구분	정보
0	"Guaranteed - Elemental Rune"
1	"Random - Normal Pentagram, Rare Pentagram, Unique Pentagram, 1 Rank 1 Enhanced Erthel, 1 Rank 7 Enhanced Erthel, Elemental Rune, [Bound] Bless of Light (Intermediate)"
end
end	
//고유번호	
5	
// 루드	
//보상 종류 번호	
1	
//보상 구분	정보
0	Guaranteed - 400 Ruud"
1	"Random - 200 ~ 4000 Ruud, [Bound] Bless of Light (Intermediate)"
end	
// 보석 아이템류	
//보상 종류 번호	
2	
//보상 구분	정보
0	"Guaranteed - Jewel of Bless"
1	"Random - Jewel of Bless, Jewel of Soul, Jewel of Life, Jewel of Harmony, Jewel of Creation, Jewel of Chaos, [Bound] Bless of Light (Intermediate)"
end	
// 속성 아이템류	
//보상 종류 번호	
3	
//보상 구분	정보
0	"Guaranteed - Elemental Rune"
1	"Random - Normal Pentagram, Rare Pentagram, Unique Pentagram, 1 Rank 1 Enhanced Erthel, 1 Rank 7 Enhanced Erthel, Elemental Rune, [Bound] Bless of Light (Intermediate)"
end	
// 액세서리 아이템류	
//보상 종류 번호	
4	
//보상 구분	정보
0	"Guaranteed - Excellent Ring"
1	"Random - Excellent Ring, Excellent Necklace, Rage Earring (Left) or (Right), Three Vacancies, Cherry Blossom Play Box, [Bound] Bless of Light (Intermediate)"
end	
end	
